<<<<<<< HEAD
crsCode77492,deptId91205,crsName55891,descr67132,
crsCode31790,deptId16522,crsName73269,descr86087,
crsCode25482,deptId72242,crsName33509,descr23466,
crsCode2593,deptId4798,crsName3626,descr53681,
crsCode94345,deptId75039,crsName39561,descr67778,
crsCode69053,deptId20728,crsName66143,descr2709,
crsCode86985,deptId61889,crsName81691,descr53347,
crsCode7956,deptId12840,crsName28855,descr56951,
crsCode89001,deptId12306,crsName83313,descr96034,
crsCode55172,deptId82879,crsName52010,descr18539,
crsCode9622,deptId3115,crsName40282,descr62179,
crsCode34165,deptId55536,crsName82477,descr71349,
crsCode47236,deptId41257,crsName16830,descr79388,
crsCode75930,deptId82066,crsName83151,descr49936,
crsCode56657,deptId67499,crsName87938,descr15000,
crsCode10445,deptId29211,crsName13591,descr18563,
crsCode99814,deptId1041,crsName26051,descr61938,
crsCode71860,deptId33254,crsName56201,descr61261,
crsCode86071,deptId26270,crsName28023,descr74805,
crsCode5504,deptId78862,crsName84832,descr65017,
crsCode23296,deptId12855,crsName99697,descr77123,
crsCode13355,deptId25200,crsName97299,descr52970,
crsCode10503,deptId66914,crsName81980,descr85226,
crsCode80535,deptId84588,crsName48401,descr2608,
crsCode71519,deptId73703,crsName74108,descr82607,
crsCode64147,deptId50500,crsName60326,descr93457,
crsCode15200,deptId34450,crsName12690,descr83079,
crsCode25655,deptId8412,crsName45782,descr33409,
crsCode30129,deptId95182,crsName72086,descr32153,
crsCode50340,deptId59992,crsName57183,descr5449,
crsCode38209,deptId41355,crsName58365,descr20253,
crsCode32742,deptId6880,crsName31129,descr71907,
crsCode93895,deptId43448,crsName93586,descr70495,
crsCode19892,deptId84254,crsName81014,descr92475,
crsCode16870,deptId25161,crsName64254,descr8860,
crsCode61196,deptId33597,crsName98052,descr207,
crsCode29901,deptId54609,crsName71873,descr35202,
crsCode13177,deptId43436,crsName10215,descr41680,
crsCode17745,deptId98025,crsName36440,descr51220,
crsCode175,deptId95257,crsName66082,descr33471,
crsCode21042,deptId90823,crsName96695,descr87684,
crsCode24202,deptId33750,crsName12301,descr95728,
crsCode92061,deptId99687,crsName79534,descr59479,
crsCode56500,deptId8887,crsName3069,descr38249,
crsCode7302,deptId2213,crsName59910,descr75876,
crsCode82206,deptId66257,crsName66592,descr20963,
crsCode48363,deptId11008,crsName17059,descr78932,
crsCode92228,deptId14780,crsName43264,descr35528,
crsCode30230,deptId65241,crsName83297,descr83171,
crsCode22219,deptId91890,crsName42749,descr42867,
crsCode11801,deptId14033,crsName83704,descr52893,
crsCode2372,deptId34637,crsName22933,descr91186,
crsCode9137,deptId95662,crsName27705,descr77121,
crsCode67080,deptId42732,crsName32382,descr79431,
crsCode85316,deptId30293,crsName8048,descr12033,
crsCode22523,deptId93230,crsName33191,descr65634,
crsCode88677,deptId39089,crsName61186,descr59968,
crsCode49547,deptId16276,crsName47196,descr89096,
crsCode74957,deptId16074,crsName6062,descr20690,
crsCode16911,deptId90915,crsName82657,descr50799,
crsCode1121,deptId33839,crsName54766,descr46782,
crsCode2346,deptId27328,crsName86260,descr38399,
crsCode99888,deptId51692,crsName91092,descr72191,
crsCode1735,deptId80209,crsName71820,descr75345,
crsCode73876,deptId25492,crsName83183,descr11966,
crsCode53916,deptId25026,crsName45886,descr78611,
crsCode29550,deptId32759,crsName66245,descr18201,
crsCode76649,deptId88157,crsName53172,descr13538,
crsCode79947,deptId82252,crsName73784,descr98751,
crsCode3288,deptId28912,crsName14678,descr80239,
crsCode88323,deptId38536,crsName41027,descr59057,
crsCode33372,deptId92107,crsName8227,descr5978,
crsCode89270,deptId50597,crsName64860,descr86850,
crsCode13427,deptId84959,crsName21878,descr56473,
crsCode64815,deptId12700,crsName2001,descr12472,
crsCode25318,deptId25535,crsName8259,descr12849,
crsCode98787,deptId9418,crsName65357,descr94984,
crsCode27622,deptId22850,crsName37848,descr64411,
crsCode40656,deptId71566,crsName19249,descr82237,
crsCode78222,deptId35678,crsName93343,descr42816,
crsCode29696,deptId20329,crsName4605,descr2416,
crsCode741,deptId44686,crsName36664,descr58845,
crsCode66789,deptId572,crsName23750,descr24497,
crsCode98298,deptId49805,crsName4129,descr45184,
